IBBR - Carteira do Dia 19/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;6,053;15,255;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,110;15,255;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,471;15,255;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,820;15,255;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,037;15,255;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,212;1,082;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,870;1,082;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,200;1,449;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON  ATZ NM;287.507.905;0,069;1,449;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,180;1,449;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,527;0,527;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,876;1,495;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,619;1,495;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,298;3,324;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;3,026;3,324;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,108;9,894;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,718;9,894;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,496;9,894;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,803;9,894;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,657;9,894;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,574;9,894;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,263;9,894;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,528;9,894;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,360;9,894;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,330;9,894;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,466;9,894;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,324;9,894;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,267;9,894;
Quantidade Teórica Total;;;;121.492.403.363;100,000;100,000
Redutor;;;;2.433.958.757,99171155
