IBBR - Carteira do Dia 18/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,252;1,327;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,652;2,652;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,439;1,432;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;0,993;1,432;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,163;10,169;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,235;10,169;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,771;10,169;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,094;0,094;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN  ED  N1;1.263.524.206;0,647;1,024;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN  ED  N1;622.977.444;0,144;1,024;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,134;1,024;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,099;1,024;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,498;19,800;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,300;19,800;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,275;19,800;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,536;19,800;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,191;19,800;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,242;14,937;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,273;14,937;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,117;14,937;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,932;14,937;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,109;14,937;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,387;14,937;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,821;14,937;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,056;14,937;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,210;1,083;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,873;1,083;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,201;1,449;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON  ATZ NM;287.507.905;0,072;1,449;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,176;1,449;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,537;0,537;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,877;1,500;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,623;1,500;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  ED  NM;188.467.895;0,298;3,348;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;3,050;3,348;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,109;9,676;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,707;9,676;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,494;9,676;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,799;9,676;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,658;9,676;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,541;9,676;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,265;9,676;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,536;9,676;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,174;9,676;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,330;9,676;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,471;9,676;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,324;9,676;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,268;9,676;
Quantidade Teórica Total;;;;121.492.403.363;100,000;100,000
Redutor;;;;2.433.958.757,99171155
