IBBR - Carteira do Dia 13/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,167;0,859;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,290;0,859;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.853.453.377;2,285;2,285;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,717;15,355;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,900;15,355;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,017;15,355;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,308;15,355;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,401;15,355;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5.350.259.376;6,689;15,355;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,323;15,355;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,620;1,329;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,318;1,329;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,132;1,329;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,259;1,329;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,608;2,608;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,443;1,453;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,010;1,453;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,166;10,310;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,241;10,310;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,903;10,310;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,095;0,095;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN  ED  N1;1.263.524.206;0,667;1,043;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN  ED  N1;622.977.444;0,149;1,043;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,130;1,043;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,097;1,043;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,328;19,521;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,229;19,521;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,266;19,521;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,547;19,521;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,151;19,521;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,248;14,685;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,298;14,685;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,058;14,685;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,813;14,685;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,103;14,685;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,329;14,685;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,817;14,685;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,019;14,685;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,206;1,096;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,890;1,096;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,205;1,474;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,078;1,474;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,191;1,474;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,565;0,565;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,875;1,493;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,618;1,493;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  ED  NM;188.467.895;0,287;3,260;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;2,973;3,260;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,109;9,723;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON  ATZ N1;1.616.108.694;2,754;9,723;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,503;9,723;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,814;9,723;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,651;9,723;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,537;9,723;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,265;9,723;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,558;9,723;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,140;9,723;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,331;9,723;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,471;9,723;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,320;9,723;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,270;9,723;
Quantidade Teórica Total;;;;121.492.403.363;100,000;100,000
Redutor;;;;2.433.958.757,99171155
