IBBR - Carteira do Dia 26/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,039;2,039;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON  ATZ NM;722.766.139;1,588;1,717;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,129;1,717;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,449;1,027;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,578;1,027;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,897;2,381;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON  ATZ NM;767.248.368;0,432;2,381;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,052;2,381;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,827;1,827;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,313;0,313;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,236;0,236;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,117;0,117;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,099;0,676;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,049;0,676;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;986.834.705;0,434;0,676;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,094;0,676;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,097;0,097;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,151;0,615;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,208;0,615;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,036;0,615;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,131;0,615;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON  ATZ NM;374.670.758;0,089;0,615;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON  EJ  NM;467.471.342;0,258;0,258;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,157;1,662;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,324;1,662;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,049;1,662;
Diversos;VAMO3;VAMOS;ON      NM;448.052.066;0,048;1,662;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,084;1,662;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,402;0,859;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,168;0,859;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,289;0,859;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.853.453.377;2,282;2,282;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,698;14,983;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,804;14,983;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,931;14,983;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,268;14,983;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,405;14,983;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,568;14,983;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,309;14,983;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,611;1,300;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,304;1,300;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,129;1,300;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,256;1,300;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,664;2,664;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,435;1,379;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;0,944;1,379;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,161;10,064;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,234;10,064;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,669;10,064;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,083;0,083;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,664;1,048;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,147;1,048;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,137;1,048;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,100;1,048;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;8,902;19,174;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,218;19,174;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,282;19,174;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,543;19,174;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,229;19,174;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,249;15,181;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,279;15,181;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,175;15,181;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;5,967;15,181;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,104;15,181;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,462;15,181;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,868;15,181;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,077;15,181;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,219;1,115;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,896;1,115;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,200;1,507;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON  ATZ NM;287.507.905;0,082;1,507;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,225;1,507;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON  EJ  NM;533.980.424;0,533;0,533;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;738.065.812;0,868;1,493;
Telecomunicação;TIMS3;TIM;ON  EJ  NM;804.628.136;0,625;1,493;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  EJ  NM;188.467.895;0,304;3,442;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON  EJB NM;704.893.540;3,138;3,442;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,108;9,928;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,704;9,928;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,494;9,928;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,804;9,928;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1.904.057.894;0,676;9,928;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,566;9,928;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,251;9,928;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,527;9,928;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,374;9,928;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,331;9,928;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,504;9,928;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,324;9,928;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,265;9,928;
Quantidade Teórica Total;;;;121.493.536.279;100,000;100,000
Redutor;;;;2.431.484.044,86429202
