IBBR - Carteira do Dia 30/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,498;16,009;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;6,344;16,009;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,109;16,009;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,572;16,009;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,883;16,009;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1.192.531.648;1,071;16,009;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,212;1,084;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,872;1,084;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,201;1,480;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,081;1,480;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;1,198;1,480;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON  EJ  NM;533.980.424;0,532;0,532;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;738.065.812;0,859;1,480;
Telecomunicação;TIMS3;TIM;ON  EJ  NM;804.628.136;0,621;1,480;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  EJ  NM;188.467.895;0,300;3,401;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON  EJB NM;704.893.540;3,101;3,401;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,106;9,689;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,633;9,689;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,482;9,689;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,779;9,689;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1.904.057.894;0,683;9,689;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,564;9,689;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,256;9,689;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,520;9,689;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,331;9,689;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,328;9,689;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,423;9,689;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,322;9,689;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,262;9,689;
Quantidade Teórica Total;;;;121.493.536.279;100,000;100,000
Redutor;;;;2.430.786.085,70973465
