IBBR - Carteira do Dia 23/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,429;1,392;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;0,963;1,392;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,159;9,980;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,233;9,980;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,588;9,980;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,081;0,081;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,656;1,028;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,145;1,028;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,130;1,028;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,097;1,028;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,423;19,817;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,403;19,817;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,270;19,817;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,530;19,817;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,191;19,817;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,232;15,211;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,273;15,211;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,207;15,211;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,990;15,211;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,104;15,211;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,540;15,211;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,833;15,211;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,032;15,211;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,217;1,076;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,859;1,076;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,198;1,482;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON  ATZ NM;287.507.905;0,076;1,482;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,208;1,482;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,539;0,539;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,884;1,509;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,625;1,509;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,300;3,413;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON  EJB NM;704.893.540;3,113;3,413;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,107;9,924;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,674;9,924;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,491;9,924;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,786;9,924;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,693;9,924;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,571;9,924;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,255;9,924;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,520;9,924;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,421;9,924;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,333;9,924;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,487;9,924;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,321;9,924;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,265;9,924;
Quantidade Teórica Total;;;;121.493.536.279;100,000;100,000
Redutor;;;;2.432.055.437,15367917
