IBBR - Carteira do Dia 16/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,123;1,026;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,097;1,026;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,492;19,820;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,332;19,820;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,270;19,820;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,551;19,820;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,175;19,820;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,244;14,645;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,288;14,645;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,056;14,645;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,800;14,645;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,104;14,645;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,298;14,645;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,823;14,645;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,032;14,645;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,207;1,099;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,892;1,099;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,203;1,452;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,073;1,452;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,176;1,452;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,544;0,544;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,883;1,513;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,630;1,513;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  ED  NM;188.467.895;0,289;3,296;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;3,007;3,296;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,109;9,726;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,759;9,726;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,502;9,726;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,817;9,726;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,657;9,726;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,537;9,726;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,266;9,726;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,551;9,726;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,128;9,726;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,332;9,726;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,473;9,726;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,323;9,726;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,272;9,726;
Quantidade Teórica Total;;;;121.492.403.363;100,000;100,000
Redutor;;;;2.433.958.757,99171155
