IBBR - Carteira do Dia 01/04/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,131;2,131;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,563;1,690;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,127;1,690;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,445;1,003;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,558;1,003;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;2,129;2,648;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,467;2,648;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,052;2,648;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,833;1,833;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,356;0,356;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,246;0,246;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,117;0,117;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,096;0,650;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,047;0,650;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;986.834.705;0,415;0,650;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,092;0,650;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,090;0,090;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,144;0,581;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,197;0,581;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,035;0,581;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,122;0,581;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,083;0,581;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON  EJ  NM;467.471.342;0,252;0,252;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,161;1,636;
Diversos;RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,291;1,636;
Diversos;RENT4;LOCALIZA;PN  EJ  NM;37.577.993;0,048;1,636;
Diversos;VAMO3;VAMOS;ON      NM;448.052.066;0,047;1,636;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,089;1,636;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON  EJ  NM;466.135.796;0,398;0,850;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,166;0,850;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON  EJ  N2;320.022.221;0,286;0,850;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.853.453.377;2,301;2,301;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,690;14,725;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,752;14,725;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,838;14,725;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,223;14,725;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,374;14,725;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,538;14,725;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,310;14,725;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,603;1,291;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,310;1,291;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,126;1,291;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON  EDJ NM;181.016.454;0,252;1,291;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON  EJ  NM;5.196.371.458;2,679;2,679;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,430;1,371;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;0,941;1,371;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,163;10,289;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,229;10,289;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,897;10,289;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,070;0,070;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,675;1,053;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,150;1,053;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,130;1,053;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,098;1,053;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,141;19,111;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,030;19,111;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,271;19,111;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,527;19,111;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,142;19,111;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,268;15,303;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,273;15,303;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,273;15,303;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;6,036;15,303;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,108;15,303;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,420;15,303;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,865;15,303;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1.192.531.648;1,060;15,303;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON  EJ  NM;329.017.784;0,213;1,064;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,851;1,064;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,200;1,478;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,082;1,478;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;1,196;1,478;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON  EJ  NM;533.980.424;0,525;0,525;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;738.065.812;0,856;1,477;
Telecomunicação;TIMS3;TIM;ON  EJ  NM;804.628.136;0,621;1,477;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  EJ  NM;188.467.895;0,306;3,442;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;704.893.540;3,136;3,442;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,107;9,738;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.616.108.694;2,661;9,738;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,488;9,738;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,790;9,738;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1.904.057.894;0,675;9,738;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,561;9,738;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,257;9,738;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,528;9,738;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,320;9,738;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,330;9,738;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,434;9,738;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,323;9,738;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,264;9,738;
Quantidade Teórica Total;;;;121.493.536.279;100,000;100,000
Redutor;;;;2.430.255.490,67623437
