IBBR - Carteira do Dia 12/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,048;1,658;
Diversos;VAMO3;VAMOS;ON  ES  NM;448.052.066;0,050;1,658;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,090;1,658;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,402;0,860;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,166;0,860;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,292;0,860;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.853.453.377;2,274;2,274;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,717;15,441;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;2,904;15,441;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EJ  NM;2.842.496.541;2,054;15,441;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,333;15,441;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,406;15,441;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5.350.259.376;6,698;15,441;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,329;15,441;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,609;1,305;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,309;1,305;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,131;1,305;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,256;1,305;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,666;2,666;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,442;1,452;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,010;1,452;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,162;10,126;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,244;10,126;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,720;10,126;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,091;0,091;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN  ED  N1;1.263.524.206;0,673;1,068;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN  ED  N1;622.977.444;0,149;1,068;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,148;1,068;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,098;1,068;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,446;19,684;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,191;19,684;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,276;19,684;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,547;19,684;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,224;19,684;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,260;14,369;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,307;14,369;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,856;14,369;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,636;14,369;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,101;14,369;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.764.253;1,291;14,369;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,017;14,369;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,828;14,369;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,073;14,369;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,205;1,083;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,878;1,083;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,207;1,482;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,079;1,482;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,196;1,482;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,572;0,572;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,869;1,487;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,618;1,487;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  ED  NM;188.467.895;0,287;3,254;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;2,967;3,254;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,108;9,793;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON  ATZ N1;1.616.108.694;2,788;9,793;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,509;9,793;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,831;9,793;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,644;9,793;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,542;9,793;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,261;9,793;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,555;9,793;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,162;9,793;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,330;9,793;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,477;9,793;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,319;9,793;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,267;9,793;
Quantidade Teórica Total;;;;122.691.339.892;100,000;100,000
Redutor;;;;2.434.385.148,86859555
