IBBR - Carteira do Dia 05/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,306;12,996;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,313;12,996;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;5,027;12,996;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,096;12,996;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;762.764.253;1,192;12,996;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,020;12,996;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,780;12,996;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,017;12,996;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,205;1,092;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,887;1,092;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,209;1,498;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,081;1,498;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,208;1,498;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,557;0,557;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;738.065.812;0,885;1,506;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,621;1,506;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,289;3,287;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;2,998;3,287;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,108;9,730;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON  ATZ N1;1.616.108.694;2,789;9,730;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,509;9,730;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,828;9,730;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,633;9,730;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,544;9,730;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,255;9,730;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,544;9,730;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,134;9,730;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,332;9,730;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,471;9,730;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,317;9,730;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,266;9,730;
Quantidade Teórica Total;;;;123.067.603.403;100,000;100,000
Redutor;;;;2.435.134.664,08697724
