IBBR - Carteira do Dia 04/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,005;2,005;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,886;2,022;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,136;2,022;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,449;0,987;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,538;0,987;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,980;2,468;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,427;2,468;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,061;2,468;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,894;1,894;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,330;0,362;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,032;0,362;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,204;0,204;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,103;0,103;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,095;0,659;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,048;0,659;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,420;0,659;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,096;0,659;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,108;0,108;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,152;0,646;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,213;0,646;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,038;0,646;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,141;0,646;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,102;0,646;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,257;0,257;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,170;1,715;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,360;1,715;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,050;1,715;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,046;1,715;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,089;1,715;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,416;0,887;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,170;0,887;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,301;0,887;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.853.453.377;2,266;2,266;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,731;15,544;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;2,936;15,544;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  ERJ NM;2.842.496.541;2,085;15,544;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,299;15,544;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2 ED;321.953.000;0,400;15,544;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,758;15,544;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,335;15,544;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,603;1,301;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,300;1,301;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,137;1,301;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,261;1,301;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,594;2,594;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,444;1,495;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,051;1,495;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,167;10,674;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,246;10,674;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;10,261;10,674;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,072;0,072;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,710;1,128;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,157;1,128;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,164;1,128;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,097;1,128;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,353;19,998;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,565;19,998;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,278;19,998;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,531;19,998;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,271;19,998;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON  ATZ NM;462.883.017;0,245;13,182;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,306;13,182;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,394;13,182;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;5,140;13,182;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,096;13,182;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;762.764.253;1,197;13,182;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,023;13,182;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,773;13,182;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,008;13,182;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,205;1,081;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,876;1,081;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,209;1,492;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,082;1,492;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,201;1,492;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,556;0,556;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;738.065.812;0,873;1,486;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,613;1,486;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,288;3,256;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;2,968;3,256;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,105;9,558;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON  ATZ N1;1.616.108.694;2,736;9,558;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,500;9,558;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,812;9,558;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,625;9,558;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,530;9,558;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,254;9,558;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,534;9,558;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,115;9,558;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,328;9,558;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,442;9,558;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,314;9,558;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,263;9,558;
Quantidade Teórica Total;;;;123.067.603.403;100,000;100,000
Redutor;;;;2.435.134.664,08697724
