IBBR - Carteira do Dia 10/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,261;1,305;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,597;2,597;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,445;1,465;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,020;1,465;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,164;10,174;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,247;10,174;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,763;10,174;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,095;0,095;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,684;1,085;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,152;1,085;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,151;1,085;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,098;1,085;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,579;19,984;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,408;19,984;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,273;19,984;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,527;19,984;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,197;19,984;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON  ATZ NM;462.883.017;0,261;14,078;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,298;14,078;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,693;14,078;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;5,495;14,078;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,102;14,078;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;762.764.253;1,314;14,078;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,019;14,078;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,826;14,078;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,070;14,078;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,208;1,086;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,878;1,086;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,205;1,498;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,078;1,498;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,215;1,498;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,565;0,565;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,884;1,506;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,622;1,506;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON  ED  NM;188.467.895;0,289;3,255;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;2,966;3,255;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,107;9,792;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON  ATZ N1;1.616.108.694;2,780;9,792;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,508;9,792;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,825;9,792;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,642;9,792;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.294.080.688;0,543;9,792;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,266;9,792;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,554;9,792;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,164;9,792;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,334;9,792;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,477;9,792;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,322;9,792;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,270;9,792;
Quantidade Teórica Total;;;;123.067.603.403;100,000;100,000
Redutor;;;;2.435.139.484,44438840
